id,face,im,hemifield,response,rt,correct,location,radius,angle,cols,pch,col1,angle2,group,gcol
o3,28,Intact,LVF,right,5.2317,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,11,Mirror reversed,RVF,right,4.799395,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,49,Intact,LVF,right,6.199765,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,8,Intact,RVF,right,12.016385,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,83,Intact,LVF,right,8.200345,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,49,Mirror reversed,RVF,right,11.10023,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,50,Mirror reversed,LVF,left,4.315665,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,33,Intact,RVF,right,3.15009,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,11,Intact,RVF,left,2.779455,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,11,Mirror reversed,LVF,left,2.117245,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,67,Intact,LVF,left,7.199455,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,59,Intact,RVF,right,6.38697,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,82,Intact,LVF,right,2.49824,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,58,Intact,LVF,left,5.95183,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,31,Intact,RVF,left,3.48333,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,22,Mirror reversed,RVF,left,2.14971,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,22,Intact,LVF,left,4.46262,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,37,Mirror reversed,LVF,right,2.35048,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,59,Mirror reversed,RVF,left,2.88593,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,77,Intact,RVF,left,5.9337,0,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,69,Intact,RVF,right,2.178595,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
o3,51,Mirror reversed,RVF,right,5.066605,1,online,1.265158093,37.77568431,#BEC87E,21,#BEC87E,-0.160540349,2. Bilingual,goldenrod
